T(s),RTT(ms)
0,264
10,263.9
20,271.9
30,255.9
40,263.8
50,263.8
60,263.8
70,263.7
80,255.7
90,303.7
100,255.6
110,263.6
120,263.5
130,279.5
140,279.5
150,263.5
160,263.4
170,267.4
180,271.3
190,263.3
200,263.3
210,259.3
220,263.2
230,263.2
240,271.2
250,275.1
260,259.1
270,263.1
280,263.1
290,263
