t(s),RTT(ms)
0,12
10,7.9
20,11.9
30,11.9
40,11.8
50,7.8
60,7.8
70,11.7
80,7.7
90,7.7
100,15.6
110,11.6
120,7.6
130,15.5
140,7.5
150,11.5
160,11.4
170,11.4
180,11.4
190,11.3
200,11.3
210,11.3
220,11.3
230,11.2
240,11.2
250,11.2
260,11.1
270,19.1
280,19.1
290,11
